candidate_id,commons_title,status,relpath,sha256,bytes,fetched_url,note
BA_002339,File:Opana Radar Site.jpg,ok,balanced_authentic/BA_002339.jpg,0d7dd510710c6dadbfd086df925435f13972337bb5523e0cb6ee5fd39b2c9830,332039,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Opana_Radar_Site.jpg/1280px-Opana_Radar_Site.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002340,"File:Opana SCR-270 radar display Dec 7, 1941.jpeg",fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Opana_SCR-270_radar_display_Dec_7%2C_1941.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002341,File:Opana-Radar-Station.png,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Opana-Radar-Station.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002343,File:Opanas Neselovskyiy.jpg,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Opanas_Neselovskyiy.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002344,File:Opanas Slastion.jpg,fetch_failed,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Opanas_Slastion.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002345,File:Open Wide (Explored) - Flickr - Carol (vanhookc).jpg,ok,balanced_authentic/BA_002345.jpg,3495353074ab39705fe552794d6190f1f962e9d52906d22cd90d3837c7b647fe,119574,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/Open_Wide_%28Explored%29_-_Flickr_-_Carol_%28vanhookc%29.jpg/1280px-Open_Wide_%28Explored%29_-_Flickr_-_Carol_%28vanhookc%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002358,File:Organic CBD capsules.jpg,ok,balanced_authentic/BA_002358.jpg,3b06c648010cd4b7dccb7144a52c5c8ed8c8282e577b8c3e59a4d27f835c058c,244484,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Organic_CBD_capsules.jpg/1280px-Organic_CBD_capsules.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002368,File:Overton's High Brown La Petite Face Powder - DPLA - 7dc2d27ad7bd071fa88040201ae96c0c (page 1).jpg,ok,balanced_authentic/BA_002368.jpg,70a0359fd2c102c6585fea5a0e3cc5d34e6497899bc93f20db3e62576776cbac,74221,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_1%29.jpg/1280px-Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002369,File:Overton's High Brown La Petite Face Powder - DPLA - 7dc2d27ad7bd071fa88040201ae96c0c (page 2).jpg,ok,balanced_authentic/BA_002369.jpg,2c1320306925958125c7935876f35ec3b199b3b7c696fe3e24ccf8d7fe6790cc,71835,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_2%29.jpg/1280px-Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_2%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002370,File:Overton's High Brown La Petite Face Powder - DPLA - 7dc2d27ad7bd071fa88040201ae96c0c (page 3).jpg,ok,balanced_authentic/BA_002370.jpg,80d45c4b4e5f2d1dad939d10c9d2b17549b28b8e9cad85d3421cb80cfa843792,83039,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_3%29.jpg/1280px-Overton%27s_High_Brown_La_Petite_Face_Powder_-_DPLA_-_7dc2d27ad7bd071fa88040201ae96c0c_%28page_3%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
