candidate_id,commons_title,page_url,image_url,mime,width,height,min_side,file_size_bytes,licence_short,licence_url,artist,credit,upload_date,found_via,query_term,harvest_date
BA_000239,File:Alka-Seltzer dissolving progression 1 - suspended.jpg,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_1_-_suspended.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alka-Seltzer_dissolving_progression_1_-_suspended.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2170,3606,2170,923552,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:52:28Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000240,File:Alka-Seltzer dissolving progression 1 - suspended.png,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_1_-_suspended.png,https://upload.wikimedia.org/wikipedia/commons/9/9a/Alka-Seltzer_dissolving_progression_1_-_suspended.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2170,3606,2170,36648984,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:53:03Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000241,File:Alka-Seltzer dissolving progression 2 - sinking 1.jpg,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_2_-_sinking_1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Alka-Seltzer_dissolving_progression_2_-_sinking_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2170,3606,2170,913070,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:53:07Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000242,File:Alka-Seltzer dissolving progression 2 - sinking 1.png,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_2_-_sinking_1.png,https://upload.wikimedia.org/wikipedia/commons/a/a3/Alka-Seltzer_dissolving_progression_2_-_sinking_1.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2170,3606,2170,36410835,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:53:43Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000243,File:Alka-Seltzer dissolving progression 3 - sinking 2.jpg,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_3_-_sinking_2.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Alka-Seltzer_dissolving_progression_3_-_sinking_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2170,3606,2170,1139556,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:53:46Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000244,File:Alka-Seltzer dissolving progression 3 - sinking 2.png,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_3_-_sinking_2.png,https://upload.wikimedia.org/wikipedia/commons/2/2e/Alka-Seltzer_dissolving_progression_3_-_sinking_2.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2170,3606,2170,37747484,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:54:23Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000245,File:Alka-Seltzer dissolving progression 4 - dissolving 1.jpg,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_4_-_dissolving_1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Alka-Seltzer_dissolving_progression_4_-_dissolving_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2170,3606,2170,1301951,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:54:27Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000246,File:Alka-Seltzer dissolving progression 4 - dissolving 1.png,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_4_-_dissolving_1.png,https://upload.wikimedia.org/wikipedia/commons/6/63/Alka-Seltzer_dissolving_progression_4_-_dissolving_1.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2170,3606,2170,40101022,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:55:05Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000247,File:Alka-Seltzer dissolving progression 5 - dissolving 2.jpg,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_5_-_dissolving_2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Alka-Seltzer_dissolving_progression_5_-_dissolving_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2170,3606,2170,1358476,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:55:10Z,category,Category:Tablets (pharmacy),2026-09-09
BA_000248,File:Alka-Seltzer dissolving progression 5 - dissolving 2.png,https://commons.wikimedia.org/wiki/File:Alka-Seltzer_dissolving_progression_5_-_dissolving_2.png,https://upload.wikimedia.org/wikipedia/commons/0/09/Alka-Seltzer_dissolving_progression_5_-_dissolving_2.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,2170,3606,2170,40875589,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Mysterymanblue,Own work,2022-02-05T03:55:47Z,category,Category:Tablets (pharmacy),2026-09-09
