filename,width,height,min_side,file_size_bytes,brightness
iphone_11_pro_(153).JPG,2419,3225,2419,2498915,0.3695434033870697
iphone_11_pro_(154).JPG,2419,3225,2419,2385120,0.40970849990844727
iphone_11_pro_(155).JPG,2419,3225,2419,2256820,0.36110153794288635
iphone_11_pro_(156).JPG,2419,3225,2419,2062763,0.37511682510375977
iphone_11_pro_(157).JPG,2419,3225,2419,2195046,0.3977574408054352
iphone_11_pro_(158).JPG,2419,3225,2419,2354183,0.3659144639968872
iphone_11_pro_(159).JPG,2419,3225,2419,2203800,0.29025769233703613
iphone_11_pro_(16).JPG,2419,3225,2419,2208461,0.3909345865249634
iphone_11_pro_(161).JPG,2419,3225,2419,1834788,0.3628108501434326
iphone_11_pro_(162).JPG,2419,3225,2419,2035055,0.4063301086425781
iphone_11_pro_(164).JPG,2419,3225,2419,2340797,0.3547353744506836
iphone_11_pro_(165).JPG,2419,3225,2419,2000148,0.4485182762145996
iphone_11_pro_(166).JPG,2419,3225,2419,2603336,0.370693564414978
iphone_11_pro_(167).JPG,2419,3225,2419,2295216,0.3367503583431244
iphone_11_pro_(168).JPG,2419,3225,2419,2467902,0.36750221252441406
iphone_11_pro_(169).JPG,2419,3225,2419,2229289,0.40355587005615234
iphone_11_pro_(17).JPG,2419,3225,2419,2335631,0.4028620719909668
iphone_11_pro_(170).JPG,2419,3225,2419,2407697,0.3507174551486969
iphone_11_pro_(171).JPG,2419,3225,2419,2529910,0.3754388391971588
iphone_11_pro_(172).JPG,3225,2419,2419,2142296,0.39249101281166077
iphone_11_pro_(173).JPG,3225,2419,2419,1881951,0.42182207107543945
iphone_11_pro_(174).JPG,3225,2419,2419,2202789,0.3806391656398773
iphone_11_pro_(175).JPG,2419,3225,2419,2409322,0.368936687707901
iphone_11_pro_(176).JPG,2419,3225,2419,2193880,0.3858624994754791
iphone_11_pro_(177).JPG,2419,3225,2419,2552045,0.36816468834877014
iphone_11_pro_(178).JPG,2419,3225,2419,1827138,0.45589959621429443
iphone_11_pro_(179).JPG,2419,3225,2419,2331791,0.37174510955810547
iphone_11_pro_(18).JPG,2419,3225,2419,2388032,0.38759639859199524
iphone_11_pro_(180).JPG,2419,3225,2419,2302178,0.3608277142047882
iphone_11_pro_(181).JPG,2419,3225,2419,2237544,0.3759605884552002
iphone_11_pro_(183).JPG,2419,3225,2419,1853665,0.37958279252052307
iphone_11_pro_(184).JPG,2419,3225,2419,1628830,0.48440179228782654
iphone_11_pro_(185).JPG,2419,3225,2419,1940095,0.4672659933567047
iphone_11_pro_(186).JPG,2419,3225,2419,2154632,0.40335002541542053
iphone_11_pro_(187).JPG,3225,2419,2419,2859980,0.36259031295776367
